 x1,x2, x3, x4, x5, x6, x7,ÈËÊý
-3.17,-0.94,0,-0.14,0.96,1.99,-0.3,0.12891
-3.17,-0.94,0,-0.13,0.97,1.99,-0.3,-0.06239
-3.17,-0.94,0,-0.12,0.97,1.99,-0.3,-0.14437
-3.17,-0.94,0,-0.1,0.97,1.99,-0.3,0.42951
-3.17,-0.94,0,-0.08,0.97,1.99,-0.3,-1.08718
-3.17,-0.95,0,-0.06,0.98,1.99,-0.3,-1.45611
-3.17,-0.96,-0.01,0.03,1,2,-0.31,-1.18283
-3.17,-0.96,-0.01,0.04,1,2,-0.31,-1.1555
-3.17,-0.96,-0.01,0.05,1,2,-0.31,0.10158
-3.17,-0.96,-0.01,0.07,1.01,2,-0.31,-1.26481
-3.17,-0.96,-0.01,0.08,1.01,2,-0.31,0.64813
-3.17,-0.96,-0.01,0.1,1.01,2,-0.31,1.44064
-3.17,-0.96,-0.01,0.11,1.01,2,-0.31,0.92141
-3.17,-0.96,-0.01,0.12,1.02,2,-0.31,1.68659
-3.17,-0.97,-0.01,0.14,1.02,2,-0.31,0.59348
-3.17,-0.97,-0.01,0.16,1.02,2,-0.31,0.04692
-3.17,-0.97,-0.01,0.18,1.03,2,-0.31,1.49529
-3.17,-0.97,-0.01,0.2,1.03,2,-0.31,-1.55175
-3.17,-0.98,-0.01,0.23,1.04,2,-0.31,-1.48343
-3.17,-0.98,-0.02,0.28,1.05,2,-0.31,1.46797
-3.17,-0.98,-0.02,0.29,1.05,2,-0.31,0.3202
-3.17,-0.99,-0.02,0.31,1.06,2,-0.31,-1.55175
-3.17,-0.99,-0.02,0.32,1.06,2,-0.31,-0.55429
-3.17,-0.99,-0.02,0.34,1.06,2.01,-0.32,0.42951
-3.17,-0.99,-0.02,0.36,1.07,2.01,-0.32,-0.63627
-3.17,-0.99,-0.02,0.38,1.07,2.01,-0.32,-0.56795
-3.17,-1,-0.02,0.39,1.07,2.01,-0.32,-1.53809
-3.17,-1,-0.02,0.39,1.07,2.01,-0.32,0.45684
-3.17,-1,-0.02,0.41,1.08,2.01,-0.32,-0.04873
-3.17,-1,-0.02,0.42,1.08,2.01,-0.32,0.86675
-3.17,-1.01,-0.03,0.49,1.09,2.01,-0.32,-1.12817
-3.18,-1.01,-0.03,0.51,1.1,2.01,-0.32,1.20835
-3.18,-1.01,-0.03,0.51,1.1,2.01,-0.32,1.12637
-3.18,-1.01,-0.03,0.51,1.1,2.01,-0.32,-0.22636
-3.18,-1.01,-0.03,0.52,1.1,2.01,-0.32,0.48417
-3.18,-1.01,-0.03,0.52,1.1,2.01,-0.32,0.6618
-3.18,-1.01,-0.03,0.53,1.1,2.01,-0.32,0.26554
-3.18,-1.01,-0.03,0.55,1.11,2.01,-0.32,0.41585
-3.18,-1.02,-0.03,0.56,1.11,2.01,-0.32,1.80956
-3.18,-1.02,-0.03,0.57,1.11,2.01,-0.32,0.34753
-3.18,-1.03,-0.04,0.72,1.14,2.02,-0.33,-0.58162
-3.18,-1.03,-0.04,0.73,1.14,2.02,-0.33,-0.58162
-3.18,-1.03,-0.04,0.73,1.14,2.02,-0.33,0.9624
-3.18,-1.04,-0.04,0.74,1.14,2.02,-0.33,1.31766
-3.18,-1.04,-0.04,0.78,1.15,2.02,-0.33,-0.14437
-3.18,-1.05,-0.04,0.85,1.17,2.02,-0.33,0.25188
-3.18,-1.05,-0.04,0.85,1.17,2.02,-0.33,-0.63627
-3.18,-1.05,-0.04,0.86,1.17,2.02,-0.33,-0.75925
-3.8,1.23,-0.44,-1.59,-1.71,-0.58,-0.7,0.03326
-3.8,1.23,-0.44,-1.59,-1.71,-0.58,-0.7,0.26554
-3.8,1.23,-0.44,-1.58,-1.71,-0.58,-0.7,0.83943
-3.8,1.22,-0.44,-1.51,-1.7,-0.58,-0.7,-0.92321
-3.8,1.22,-0.44,-1.45,-1.68,-0.58,-0.7,-1.51076
-3.8,1.21,-0.44,-1.43,-1.68,-0.58,-0.7,-0.58162
-3.8,1.21,-0.44,-1.42,-1.68,-0.58,-0.7,1.24934
-3.8,1.21,-0.44,-1.41,-1.68,-0.58,-0.7,0.29287
-3.8,1.21,-0.44,-1.41,-1.67,-0.58,-0.7,-0.40399
-3.8,1.21,-0.45,-1.4,-1.67,-0.58,-0.7,-0.47231
-3.8,1.21,-0.45,-1.4,-1.67,-0.58,-0.7,-0.80024
-3.8,1.21,-0.45,-1.37,-1.67,-0.58,-0.7,0.36119
-3.8,1.2,-0.45,-1.35,-1.66,-0.57,-0.7,-1.34679
-3.8,1.2,-0.45,-1.29,-1.65,-0.57,-0.71,-1.19649
-3.8,1.19,-0.45,-1.24,-1.64,-0.57,-0.71,0.37486
-3.8,1.19,-0.45,-1.22,-1.64,-0.57,-0.71,-1.48343
-3.8,1.18,-0.46,-1.12,-1.62,-0.57,-0.71,-0.1717
-3.8,1.18,-0.46,-1.11,-1.61,-0.57,-0.71,-0.00773
-3.8,1.17,-0.46,-1.09,-1.61,-0.57,-0.71,-0.1717
-3.8,1.17,-0.46,-1.08,-1.61,-0.57,-0.71,-0.99153
-3.81,1.17,-0.46,-1.04,-1.6,-0.57,-0.71,0.08791
-3.81,1.17,-0.46,-1.04,-1.6,-0.57,-0.71,0.08791
-3.81,1.17,-0.46,-1,-1.59,-0.56,-0.71,-0.08972
-3.81,1.16,-0.46,-0.96,-1.58,-0.56,-0.72,0.04692
-3.81,1.16,-0.46,-0.94,-1.58,-0.56,-0.72,0.27921
-3.81,1.16,-0.47,-0.92,-1.57,-0.56,-0.72,-1.56542
-3.81,1.15,-0.47,-0.91,-1.57,-0.56,-0.72,0.45684
-3.81,1.15,-0.47,-0.89,-1.57,-0.56,-0.72,-0.06239
-3.81,1.14,-0.47,-0.82,-1.55,-0.56,-0.72,-1.56542
-3.81,1.14,-0.47,-0.8,-1.55,-0.56,-0.72,-1.48343
-3.81,1.14,-0.47,-0.78,-1.55,-0.56,-0.72,-1.42878
-3.81,1.14,-0.47,-0.76,-1.54,-0.56,-0.72,-0.41765
-3.81,1.14,-0.47,-0.74,-1.54,-0.56,-0.72,-0.47231
-3.81,1.13,-0.47,-0.73,-1.54,-0.56,-0.72,-1.48343
-3.81,1.13,-0.47,-0.72,-1.53,-0.56,-0.72,-1.56542
-3.81,1.13,-0.47,-0.71,-1.53,-0.55,-0.72,-0.77291
-3.81,1.13,-0.47,-0.7,-1.53,-0.55,-0.72,-0.22636
-3.81,1.12,-0.48,-0.61,-1.51,-0.55,-0.73,0.00593
-3.81,1.12,-0.48,-0.57,-1.5,-0.55,-0.73,-1.48343
